Deep hardware point,+(91)-9998578900,4.8,1000,"Shop no-1,2 Heritage complex, 50- feet road, 150 Feet Ring Road, Rajkot - 360005, Near Balaji hall",,"Hardware Manufacturers,"
Shri Ram Hardware & Tools,+(91)-9924333735,4.7,1000,"Shop No 8, Fortune Square, Kishan Gate, Gidc, Metoda, Kalavad Road, Rajkot - 360005, Opposite Murlidhar Way Bridge",,"Hardware Shops,"
Path Enterprise,+(91)-9409005224,4.5,1000,"Tirthraj Complex, 6 Royal Park, University Road, Rajkot - 360005",,"Hardware Shops,"
Shree Maruti Hardware & San..,+(91)-281-2578150,1.8,1000,"Sundaram Apartment, Royal Park, University Road, Rajkot - 360005, Nr.Ramkrupa Dairy Farm",,"Hardware Shops,"
Path Enterprise,+(91)-281-2581764,5.0,1000,"Tirthraj Complex, University Main Road, University Road, Rajkot - 360005, Near Panchayat Chowk",,"Hardware Shops,"
Soham Technocast,+(91)-281-2384680,5.0,1000,"Aji Gidc, No.t, Road, Rajkot - 360005",,"Hardware Shops,"
Shivam Hardware,+(91)-281-2369505,4.2,1000,"JK Hall, 150 Feet Main Road, Chandreshnagar Main Road-chandreshnagar, Rajkot - 360005, Opp Balaji Hall",,"Hardware Shops,"
Shubham Plywood And Hardwar..,+(91)-9426986550,3.5,1000,"Shop No 5, Dwarkesh Complex, Nana Mava Main Road, Rajkot - 360005, Opp. Satyam Party Plot",,"Hardware Shops,"
Maruti Plywood & Hardware,+(91)-9099725111,5.0,1000,"16- Ajanta Complex, Sadhu Vaswani Road, University Road, Rajkot - 360005, Nr Sadhuvasvani School",,"Hardware Shops,"
Bal Krushna Hardware,+(91)-9723541937,3.6,1000,"Dwarkesh Appartment, Nana Mava Road, Nana Mava Main Road, Rajkot - 360005, Near Ishan Glass",,"Hardware Shops,"
Jaykishan Hardware Mart,+(91)-9725880737,5.0,1000,"Shop No G  8, Pragati Complex, Near JADE Blue, 150 Feet Ring Road, Rajkot - 360005, Opp Amin Marg",,"Hardware Shops,"
Deep Hardware,+(91)-9998578900,5.0,1000,"Shop no-1,2 Heritage Complex, 50 ft Road, 150 Feet Ring Road, Rajkot - 360005, Nr Balaji Hall",,"Hardware Shops,"
Sona Hardware Agency,+(91)-9426968396,4.6,1000,"Shop No-3, Radheshyam Complex, Satya Sai Hospital Road, Nana Mava Main Road, Rajkot - 360005, B/H Balaji Hall",,"Hardware Shops,"
Harikrushna Hardware & Elec..,+(91)-7623857423,4.0,1000,"Old Munjka, Christ College Road, University Campus, Rajkot - 360005, Near Harivandana College",,"Hardware Shops,"
Jay Kishan Hardware,+(91)-9898536172,5.0,1000,"Pragati Complex, 150 Feet Ring Road, Rajkot - 360005, Near Jade Blue",,"Hardware Shops,"
jay enterprise,+(91)-8758838203,5.0,1000,"shop no,16.ground floor, opposite wockhardt, Kalavad Road, Rajkot - 360005, wockhardt hospital",,"Hardware Shops,"
Ravi Paints And Hardware,+(91)-281-2331722,5.0,1000,"Main Road, 150 Feet Ring Road, Rajkot - 360005, Nana Mava Circle",,"Hardware Shops,"
Bholenath Hardware,+(91)-9998108776,5.0,1000,"Avadh Complex, Shadhuvaswani Main Road, University Road, Rajkot - 360005, Near Shyamal",,"Hardware Shops,"
Rago Ply & Hardware,+(91)-281-6592800,5.0,1000,"Shop No.13,Krishna Con-Arch-3,, Opp.jay Ganesh Motors,, 150 Feet Ring Road, Rajkot - 360005, 150 Ft. Ring Road",,"Hardware Shops,"
Gunjan marketing,+(91)-9624076315,5.0,1000,"5,Badal complex, Main road, 150 Feet Ring Road, Rajkot - 360005, Near Amazon hall",,"Hardware Shops,"
Laxmi Hardware,+(91)-9408938700,4.5,1000,"Yash World Complex, Nana Mava Road, Nana Mava Main Road, Rajkot - 360005, Opp Season 3 Restaurant",,"Hardware Shops,"
Umaish Enterprise,+(91)-9998471015,4.5,1000,"Shop No 5, Elora Complex, University Road, University Road, Rajkot - 360005, Near Ajanta Complex",,"Hardware Shops,"
Umaish Enterprise,+(91)-9898414647,4.5,1000,"Shop No 5 Ellora Complex, Sadhu Vaswani Road, University Road, Rajkot - 360005, Near Deluxe Pan",,"Hardware Shops,"
Bhagwati Plywood And Hardwa..,+(91)-281-2331168,4.5,1000,"Shree Vallabh Vidhyanagar Society, Dharti Pan Street, Mavdi Main Road, Rajkot - 360004, Behind Patel Bording",,"Hardware Shops,"
Maruti Hardware,+(91)-9429167906,4.0,1000,"Sundaram, University Main Road, University Road, Rajkot - 360005, Near Indira Chirkle",,"Hardware Shops,"
Heera Electric Hardware,+(91)-9904954729,4.0,1000,"Krishna Complex, Main Road, 150 Feet Ring Road, Rajkot - 360005, Near Raiya Telefone Exchange",,"Hardware Shops,"
Aastha Trade House,+(91)-281-2561704,4.0,1000,"203 Silver Coin, Kalawad Road, Kalavad Road, Rajkot - 360005, Opposit Crystal Mall",,"Hardware Shops,"
Patel Hardware & Trader,+(91)-9624424819,4.0,1000,"105-Raviraj Complex, Ground Floor, Balaji Chowk, 150 Feet Ring Road, Rajkot - 360005, Near Balaji Hall",,"Hardware Shops,"
Vishal Hardware & Sanitaryw..,+(91)-281-5777397,3.0,1000,"University Road, University Road, Rajkot - 360005, Opposite Kabhib",,"Hardware Shops,"
Hari Om Hardware & Sanitary..,+(91)-9276810254,0.0,1000,"Vishveshvar Nagar, 150 Feet, 150 Feet Ring Road, Rajkot - 360005, Beside Punam Society",,"Hardware Shops,"
Shreeram Hardware & Paints,+(91)-9904477325,0.0,1000,"Shop No 10, Labhadeep Society, 150 Feet Ring Road, Rajkot - 360005, Opposite Mavdi Chokdi BRTS Stand, Near Radhika Restaurant",,"Hardware Shops,"
Balaji Hardware,+(91)-9574776886,0.0,1000,"Siddhi, Main road, Kalavad Road, Rajkot - 360005, Near nobale",,"Hardware Shops,"
Shree Ishwar Krupa Hardware..,+(91)-7283848594,0.0,1000,"Shop No 8, Surya Complex, 150 Feet Ring Road, Rajkot - 360005, Opposite Trimurti Balaji Temple",,"Hardware Shops,"
Hardware Plaza,+(91)-281-3209008,0.0,1000,"7- Goldenview Complex, Near Stayam Parti Plot, Nana Mava Main Road, Rajkot - 360005, Nana Mava Road",,"Hardware Shops,"
Patel Hardware & Sanitary,+(91)-8758619070,0.0,1000,"1, Pal Point Comlpex, Satya Sai Hospital, Rajkot - 360005, Nr Shyamal Vihar",,"Hardware Shops,"
Rgs Glass Hardware,+(91)-9016506070,0.0,1000,"Vavdi, 150 Feet Ring Road, Rajkot - 360005, Near Parin Furniture",,"Hardware Shops,"
Patel Hardware,No Number!,0.0,1000,"150 Feet Ring Road, Rajkot - 360005, Opposite Janki Food",,"Hardware Shops,"
Chandan Traders,+(91)-8000802030,0.0,1000,"Subham Complex, Sadhu Vaswani Road, University Road, Rajkot - 360005, Near Gamgotri Dairy",,"Hardware Shops,"
Shree Dwarkesh Hardware Ply..,+(91)-9723509001,0.0,1000,"Shop No.3, Ashopalav Complex, Main Road, Nana Mava Main Road, Rajkot - 360005, Near Mobile Shop,Ambika Township,Opp Madhv Darshan Complex",,"Hardware Shops,"
Abhi Paints & Hardware,No Number!,0.0,1000,"Main Road, 150 Feet Ring Road, Rajkot - 360005, Opposite Astha",,"Hardware Shops,"
Gayatri Hardware & Paint,+(91)-9925819546,0.0,1000,"Shop No 5, Sardar Apartment, Nr.Indira Circle, University Road, Rajkot - 360005, Opp.Yashraj Appt",,"Hardware Shops,"
Star Plywood And Hardware,+(91)-281-2582621,0.0,1000,"Shani Complex, Ground Floor, Jalaram 4, University Road, Rajkot - 360005, Opposite Ramkrupa Dairy",,"Hardware Shops,"
Radhekrishna Plywood,+(91)-9978979379,0.0,1000,"14, RAJ PALACE APARTMENT, Sadhuvasvani Road, University Road, Rajkot - 360005, Near Patidar Chowk",,"Hardware Shops,"
Shree Nathji Hardware,+(91)-9879712680,0.0,1000,"Siddhanth Complex, University Road, Rajkot - 360005",,"Hardware Shops,"
Hardware Plaza,+(91)-9687771112,0.0,1000,"Shop No-7, Goldenview, Main Road, Nana Mava Main Road, Rajkot - 360005, Near Staym Party Plot",,"Hardware Shops,"
ACE Products,+(91)-281-2332108,0.0,1000,"309, Sanskar Complex, 150 Feet Ring Road, 150 Feet Ring Road, RAJKOT - 360005, Nr Chitralekha Appartmen",,"Hardware Shops,"
Gunjan Marketing,+(91)-9879531645,0.0,1000,"5, Badal Complex, 150 Feet Ring Road, 150 Feet Ring Road, Rajkot - 360005, Near Raiya Circle",,"Hardware Shops,"
Patel Hardware,+(91)-9723841420,0.0,1000,"Chamunda Hostel, Old Munjka, University Campus, Rajkot - 360005, Near Harivandana College",,"Hardware Shops,"
Home Hardware,+(91)-9824399998,0.0,1000,"150 Feet Ring Road, Rajkot - 360005, Near Omnagar Circle",,"Hardware Shops,"
Krishna plylam,+(91)-9824286233,0.0,1000,"Main Road, 150 Feet Ring Road, Rajkot - 360005",,"Hardware Shops,"
Nyal Karan Hardware,+(91)-9737313609,0.0,1000,"150 Feet Ring Road, Rajkot - 360005, Beside Kamnath Way Bridge, Nehru Nagar Industrial Area",,"Hardware Shops,"
Kalyan Hardware,No Number!,0.0,1000,"1st Floor, FF Office No. 101,Rajrantna Complex, 150 Feet Ring Road, Rajkot - 360005, Near Raiya Telephone Exchnage,Aakruti Biz Hub,JP Tower",,Hardware Shops
JAY Siyaram Hardware & Plyw..,+(91)-9426402618,0.0,1000,"Shop No 9 Golden Point Complex, Opp Arjun Park, Nana Mava Main Road, Rajkot - 360005",,"Hardware Shops,"
Sahyog Hardware Store,+(91)-7201966183,0.0,1000,"Old Munjka, Christ College Road, University Campus, Rajkot - 360005, Near Harivandana College",,"Hardware Shops,"
Babji Traders,+(91)-8238061704,0.0,1000,"Old Munjka, Christ College Road, Rajkot - 360005, Near Harivandana College",,"Hardware Shops,"
Siddhrath Hardware & Sanita..,+(91)-9879680603,0.0,1000,"Satya sai hospital main road, 150 Feet Ring Road, Rajkot - 360005, Opposite Krishna water",,"Hardware Shops,"
Jay Khodiyar Electric & Har..,+(91)-7265973799,0.0,1000,"Munjka, Christ College Road, University Campus, Rajkot - 360005, Near Harivandana College",,"Hardware Shops,"
Somnath Enterprise,+(91)-8160073773,0.0,1000,"Old Munjka, Christ College Road, University Campus, Rajkot - 360005, Near Harivandana College",,"Hardware Shops,"
Kailash Hardware,+(91)-9825070540,0.0,1000,"Mavdi Plot, Rajkot - 360004, Near Big Bazar",,"Hardware Shops,"
Om Tools & Hardware,+(91)-7202020222,0.0,1000,"Mavdi Bypass, Rajkot - 360005, Near Dharti Pan Mavdi",,"Hardware Shops,"
Akshar Hardware,+(91)-8866424788,0.0,1000,"Janki Palace, Punitnagar, 150 Feet Ring Road, Rajkot - 360005",,"Hardware Shops,"
Tarak Industries,+(91)-7490009598,0.0,1000,"Ankur Nager Main Road, Rajkot - 360004, Near Satadhar Estate,Opposite Om Pan",,"Hardware Shops,"
Siddhnath Hardware & Electr..,+(91)-9374599939,0.0,1000,"Tirupati Complex, 2-Jalaram Society, University Road, Rajkot - 360005, Near Shakti Higher Secondary School",,"Hardware Shops,"
Jay Somnath Hardware & Sani..,+(91)-9409311712,0.0,1000,"Classic Apartment, Below Sbi Bank, 150 Feet Ring Road, Rajkot - 360005, Raiya Telecom Exchange",,"Hardware Shops,"
